epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,502.205,0.95866,2.38382,1.22471,0.51384,0.55024,0.53963,0.4213,0.87176,1.64567,1.19353,0.0705556,0.0032716,0.0032716
2,961.196,0.83416,1.23696,1.11295,0.66771,0.74725,0.74212,0.57887,0.87182,1.47756,1.18546,0.0405548,0.00660422,0.00660422
3,1415.61,0.84258,1.11792,1.0912,0.75149,0.74828,0.75261,0.58404,0.88724,1.26035,1.17789,0.0105512,0.00993396,0.00993396
4,1860.41,0.92255,1.10195,1.12671,0.76618,0.75717,0.77105,0.58222,0.9476,1.27332,1.21156,0.00999023,0.00999023,0.00999023
5,2319.57,0.87395,0.9505,1.09662,0.74263,0.73759,0.75124,0.55761,0.94662,1.55426,1.22696,0.00998264,0.00998264,0.00998264
6,2815.41,0.86444,0.9316,1.09898,0.74642,0.80329,0.79936,0.61358,0.92297,1.08547,1.24349,0.00997288,0.00997288,0.00997288
7,3394.51,0.87058,0.82646,1.0914,0.81573,0.77766,0.78859,0.58122,0.98093,1.04336,1.25854,0.00996097,0.00996097,0.00996097
8,3936.17,0.88345,0.84573,1.11253,0.77503,0.75542,0.76594,0.58217,0.94868,1.1648,1.23864,0.0099469,0.0099469,0.0099469
9,4466.46,0.88269,0.86709,1.11018,0.7768,0.78107,0.77955,0.57881,0.99595,1.03852,1.29492,0.00993068,0.00993068,0.00993068
10,4958.37,0.85177,0.85822,1.10195,0.81504,0.78437,0.78793,0.61192,0.89505,0.98324,1.21746,0.00991232,0.00991232,0.00991232
11,5311.64,0.86966,0.82925,1.11231,0.80729,0.8011,0.80275,0.61327,0.90635,0.95192,1.21381,0.00989183,0.00989183,0.00989183
12,5664.08,0.85348,0.79977,1.09854,0.80035,0.81249,0.81581,0.62543,0.94342,1.00634,1.2457,0.00986922,0.00986922,0.00986922
13,6013.89,0.83579,0.78703,1.08437,0.83307,0.80352,0.81604,0.6367,0.9014,0.9329,1.20011,0.00984449,0.00984449,0.00984449
14,6359.03,0.84048,0.76606,1.0941,0.82608,0.7713,0.80771,0.6185,0.92056,1.06695,1.23318,0.00981765,0.00981765,0.00981765
15,6708.49,0.82685,0.75542,1.08212,0.83967,0.75953,0.81084,0.61869,0.96809,0.98654,1.24682,0.00978873,0.00978873,0.00978873
16,7056.82,0.83549,0.77338,1.09465,0.83651,0.79921,0.80624,0.62082,0.91848,0.98221,1.22006,0.00975773,0.00975773,0.00975773
17,7404.88,0.83021,0.74648,1.09389,0.79493,0.82583,0.81603,0.6283,0.93863,0.93441,1.24038,0.00972466,0.00972466,0.00972466
18,7750.48,0.83894,0.76567,1.10268,0.8536,0.80429,0.82686,0.64605,0.90484,0.91193,1.21525,0.00968955,0.00968955,0.00968955
19,8171.09,0.82309,0.75206,1.08981,0.8577,0.80075,0.81135,0.63426,0.89596,0.8898,1.21203,0.00965239,0.00965239,0.00965239
20,8679.82,0.82764,0.75438,1.09593,0.81476,0.82094,0.8178,0.63029,0.90463,0.8841,1.20142,0.00961322,0.00961322,0.00961322
21,9232.82,0.8005,0.72389,1.07445,0.81915,0.81532,0.81284,0.62536,0.93855,0.94438,1.26466,0.00957205,0.00957205,0.00957205
22,9686.86,0.82131,0.72337,1.08585,0.80431,0.81826,0.81905,0.6418,0.88907,0.90022,1.21832,0.00952889,0.00952889,0.00952889
23,10022.5,0.78677,0.68365,1.05885,0.78984,0.80271,0.79838,0.62068,0.88792,0.94212,1.23917,0.00948377,0.00948377,0.00948377
24,10358.9,0.79604,0.69023,1.06868,0.83589,0.81071,0.80697,0.63251,0.92146,0.90479,1.24028,0.00943671,0.00943671,0.00943671
25,10702.4,0.80325,0.69745,1.08122,0.77831,0.65762,0.71275,0.53556,1.01108,1.18343,1.33317,0.00938772,0.00938772,0.00938772
26,11045.1,0.78005,0.69239,1.06543,0.83975,0.78812,0.80149,0.63561,0.86752,0.91729,1.20474,0.00933683,0.00933683,0.00933683
27,11382.8,0.79412,0.65711,1.06802,0.81039,0.74637,0.76413,0.59687,0.95274,1.07261,1.30082,0.00928405,0.00928405,0.00928405
28,11722.4,0.77654,0.66675,1.05889,0.84471,0.80668,0.81228,0.64034,0.86133,0.90075,1.20625,0.00922942,0.00922942,0.00922942
29,12056.8,0.78247,0.6655,1.0633,0.84488,0.80602,0.81297,0.63561,0.86718,0.92948,1.20473,0.00917296,0.00917296,0.00917296
30,12404.5,0.77233,0.67727,1.06835,0.8576,0.83752,0.82656,0.6545,0.87908,0.85907,1.20815,0.00911469,0.00911469,0.00911469
31,12737.3,0.76916,0.67869,1.07845,0.79203,0.70687,0.76553,0.57885,0.96695,1.10762,1.30748,0.00905463,0.00905463,0.00905463
32,13076.3,0.75173,0.65872,1.05747,0.84871,0.8096,0.82376,0.65583,0.87563,0.85841,1.21255,0.00899282,0.00899282,0.00899282
33,13403.9,0.7625,0.65815,1.06266,0.84706,0.81073,0.81232,0.64612,0.87936,0.90487,1.22987,0.00892928,0.00892928,0.00892928
34,13861.3,0.7517,0.61282,1.04923,0.82535,0.83369,0.8185,0.64721,0.88974,0.88414,1.23116,0.00886404,0.00886404,0.00886404
35,14345.1,0.74575,0.62163,1.05184,0.8165,0.84082,0.82256,0.64986,0.88255,0.91666,1.24019,0.00879713,0.00879713,0.00879713
36,14710.4,0.75466,0.64349,1.05149,0.8472,0.79928,0.82158,0.65337,0.85632,0.9007,1.21419,0.00872857,0.00872857,0.00872857
37,15074.7,0.74199,0.63949,1.05988,0.83254,0.75114,0.79431,0.62769,0.91705,0.98032,1.27333,0.00865839,0.00865839,0.00865839
38,15439.2,0.74157,0.63506,1.04716,0.8581,0.82417,0.82694,0.66169,0.87337,0.89015,1.20026,0.00858664,0.00858664,0.00858664
39,15711.4,0.73344,0.61559,1.04211,0.8358,0.82019,0.82315,0.65672,0.87614,0.90304,1.21149,0.00851333,0.00851333,0.00851333
40,16009.5,0.73727,0.63053,1.05197,0.83475,0.84192,0.82317,0.656,0.86123,0.84092,1.2241,0.00843851,0.00843851,0.00843851
41,16325.8,0.72146,0.61227,1.03439,0.847,0.8397,0.82583,0.65665,0.85986,0.85084,1.19918,0.0083622,0.0083622,0.0083622
42,16630.5,0.7204,0.60678,1.04691,0.86335,0.82849,0.84826,0.68574,0.8462,0.8386,1.18281,0.00828443,0.00828443,0.00828443
43,16937.4,0.72337,0.6031,1.03966,0.83704,0.825,0.83156,0.66492,0.86518,0.87491,1.2178,0.00820525,0.00820525,0.00820525
44,17244.9,0.72081,0.59568,1.04142,0.79702,0.84718,0.83527,0.67292,0.85511,0.90709,1.21338,0.00812468,0.00812468,0.00812468
45,17556.2,0.7205,0.60368,1.04452,0.86616,0.82156,0.8369,0.66574,0.87364,0.85626,1.21192,0.00804277,0.00804277,0.00804277
46,17870.4,0.73045,0.5971,1.05226,0.82179,0.8388,0.81738,0.64973,0.86436,0.89645,1.21517,0.00795954,0.00795954,0.00795954
47,18176.3,0.70406,0.60577,1.03617,0.79408,0.83712,0.81234,0.63911,0.88272,0.90487,1.2313,0.00787503,0.00787503,0.00787503
48,18493.4,0.72188,0.60922,1.03838,0.85868,0.82585,0.82848,0.66257,0.84043,0.84929,1.20193,0.00778929,0.00778929,0.00778929
49,18806.8,0.70653,0.59599,1.03477,0.8526,0.84132,0.82887,0.66323,0.84392,0.85805,1.19356,0.00770234,0.00770234,0.00770234
50,19115.7,0.69385,0.57733,1.02466,0.83657,0.84889,0.828,0.66016,0.8806,0.90442,1.25183,0.00761423,0.00761423,0.00761423
51,19429.3,0.69209,0.58792,1.03311,0.83176,0.83902,0.82856,0.6607,0.8367,0.86761,1.19796,0.007525,0.007525,0.007525
52,19741.9,0.6918,0.56464,1.02762,0.85181,0.79538,0.8136,0.66167,0.85176,0.92612,1.23649,0.00743468,0.00743468,0.00743468
53,20051.6,0.68569,0.57581,1.0324,0.8259,0.83743,0.82559,0.66878,0.83549,0.84943,1.20919,0.00734332,0.00734332,0.00734332
54,20362.8,0.69804,0.56884,1.03859,0.85614,0.77939,0.80819,0.64934,0.8676,0.93232,1.23192,0.00725094,0.00725094,0.00725094
55,20671.7,0.6846,0.57095,1.01801,0.81123,0.84601,0.81715,0.64852,0.87051,0.89076,1.24506,0.00715761,0.00715761,0.00715761
56,20981.7,0.68063,0.56341,1.0189,0.83367,0.81464,0.81116,0.64707,0.85861,0.88496,1.22215,0.00706335,0.00706335,0.00706335
57,21290,0.69405,0.5718,1.04021,0.84127,0.81564,0.8174,0.64733,0.88341,0.8567,1.25091,0.0069682,0.0069682,0.0069682
58,21601.2,0.68382,0.54156,1.02147,0.84484,0.81268,0.81416,0.64629,0.87504,0.91263,1.23382,0.00687222,0.00687222,0.00687222
59,21911,0.66374,0.52753,1.0087,0.84102,0.80662,0.82443,0.67238,0.83614,0.89004,1.20938,0.00677543,0.00677543,0.00677543
60,22220.2,0.66911,0.54643,1.02274,0.81192,0.81365,0.81322,0.66363,0.84223,0.91006,1.21818,0.00667789,0.00667789,0.00667789
61,22526.9,0.65412,0.51857,1.0073,0.82184,0.82389,0.82188,0.66787,0.81533,0.8659,1.17453,0.00657963,0.00657963,0.00657963
62,22838.9,0.66486,0.53455,1.01232,0.83307,0.8094,0.81535,0.65572,0.82675,0.85722,1.20449,0.00648071,0.00648071,0.00648071
