epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,23159.5,0.65605,0.51275,1.01986,0.841,0.79525,0.8148,0.65615,0.84738,0.86008,1.2179,0.00638115,0.00638115,0.00638115
64,23467.4,0.64716,0.52217,1.01169,0.83169,0.81865,0.81412,0.65739,0.82603,0.90123,1.21578,0.00628101,0.00628101,0.00628101
65,23770.7,0.63742,0.50712,1.00494,0.82802,0.82353,0.8203,0.66162,0.82111,0.8653,1.21604,0.00618034,0.00618034,0.00618034
66,24076.8,0.65116,0.5302,1.0055,0.83151,0.83439,0.831,0.6776,0.84755,0.87917,1.22433,0.00607916,0.00607916,0.00607916
67,24378.8,0.64246,0.50319,0.99807,0.84314,0.82519,0.83904,0.68361,0.82763,0.84005,1.21009,0.00597754,0.00597754,0.00597754
68,24683.3,0.63992,0.50562,0.99922,0.84345,0.82658,0.83349,0.67938,0.83075,0.83419,1.22351,0.00587551,0.00587551,0.00587551
69,24991.8,0.64244,0.50075,1.01052,0.81914,0.84728,0.83213,0.67771,0.81804,0.83828,1.2011,0.00577311,0.00577311,0.00577311
70,25297.6,0.62816,0.50135,0.99415,0.82765,0.8328,0.83522,0.67495,0.80481,0.80323,1.17894,0.0056704,0.0056704,0.0056704
71,25602.8,0.62842,0.49688,0.99642,0.85445,0.81155,0.83783,0.67917,0.80691,0.81816,1.18617,0.00556742,0.00556742,0.00556742
72,25909.4,0.64188,0.50293,1.01219,0.83823,0.80706,0.81472,0.6598,0.8225,0.8487,1.18416,0.00546421,0.00546421,0.00546421
