epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10445.5,0.68039,0.56067,1.01973,0.82368,0.84709,0.83635,0.67049,0.9732,1.1686,1.39382,0.00643101,0.00643101,0.00643101
43,10667.8,0.67746,0.56041,1.01803,0.79671,0.83775,0.81165,0.64693,1.02628,1.22181,1.42322,0.00628101,0.00628101,0.00628101
44,10890.1,0.67189,0.55247,1.02153,0.83715,0.84192,0.83416,0.67751,0.96663,1.15059,1.35591,0.00612981,0.00612981,0.00612981
45,11113.9,0.66207,0.5457,1.00842,0.84832,0.83426,0.83322,0.67237,0.97383,1.09611,1.36439,0.00597754,0.00597754,0.00597754
46,11336.5,0.68623,0.55783,1.02531,0.85981,0.82373,0.82312,0.65867,1.03171,1.15956,1.41759,0.00582435,0.00582435,0.00582435
47,11559.3,0.66499,0.54852,1.0144,0.86407,0.80431,0.80791,0.64682,1.04348,1.28725,1.46562,0.0056704,0.0056704,0.0056704
48,11781.2,0.65381,0.52597,1.00327,0.84883,0.81093,0.823,0.66369,1.04025,1.18567,1.45858,0.00551584,0.00551584,0.00551584
49,12004,0.67204,0.52538,1.00997,0.8592,0.81722,0.8266,0.66928,1.01879,1.10763,1.43351,0.00536081,0.00536081,0.00536081
50,12227.8,0.64461,0.50956,0.99768,0.84962,0.82802,0.82604,0.67745,0.95647,1.06386,1.35121,0.00520548,0.00520548,0.00520548
51,12450.9,0.6527,0.51819,1.00306,0.84118,0.82901,0.82757,0.68235,0.9615,1.11557,1.37549,0.00505,0.00505,0.00505
52,12675.1,0.62459,0.50623,0.99535,0.84523,0.82916,0.82958,0.67693,0.95982,1.10784,1.36452,0.00489452,0.00489452,0.00489452
53,12897.3,0.6385,0.51578,1.00502,0.85892,0.83772,0.83946,0.67672,0.98498,1.10486,1.3726,0.00473919,0.00473919,0.00473919
54,13122.5,0.62815,0.51501,1.00158,0.85532,0.82146,0.82719,0.66851,0.99197,1.16554,1.40401,0.00458416,0.00458416,0.00458416
55,13345.1,0.62808,0.50391,0.99393,0.85577,0.83249,0.83264,0.68066,0.98145,1.14507,1.39386,0.0044296,0.0044296,0.0044296
56,13569.6,0.6283,0.51612,1.00705,0.84346,0.84833,0.83554,0.68162,0.96155,1.1125,1.36351,0.00427565,0.00427565,0.00427565
57,13791.3,0.62443,0.50388,1.00045,0.85846,0.85303,0.8321,0.68278,0.94938,1.08802,1.35507,0.00412246,0.00412246,0.00412246
58,14013.5,0.62098,0.49178,0.98487,0.85702,0.84004,0.83209,0.67829,0.97116,1.10974,1.35992,0.00397019,0.00397019,0.00397019
59,14235.4,0.61604,0.47088,0.98422,0.88027,0.82971,0.84048,0.68286,1.01203,1.17054,1.40626,0.00381899,0.00381899,0.00381899
60,14462.2,0.60605,0.48343,0.99025,0.86801,0.81841,0.83113,0.68222,0.9939,1.15764,1.41471,0.00366899,0.00366899,0.00366899
61,14684.5,0.58953,0.46235,0.97519,0.8798,0.82679,0.84304,0.69279,0.96943,1.10984,1.38387,0.00352037,0.00352037,0.00352037
